ID,目次,校区名,date,戦没地,名寄せ
37855,北九州市八幡東区,槻田五区,1944-08-01,ビルマ,ビルマ方面
37856,北九州市八幡東区,槻田五区,1944-08-18,南シナ海,南シナ海
37857,北九州市八幡東区,槻田五区,1944-06-13,ビルマ,ビルマ方面
37858,北九州市八幡東区,槻田五区,1944-08-05,ビルマ,ビルマ方面
37859,北九州市八幡東区,槻田五区,1944-11-14,ビルマ,ビルマ方面
37860,北九州市八幡東区,槻田五区,1944-11-25,ニューギニア,ニューギニア方面
37863,北九州市八幡東区,槻田五区,1944-12-05,菲島方面,フィリピン方面
37864,北九州市八幡東区,槻田五区,1942-11-25,別府海軍病院,その他国内
37865,北九州市八幡東区,槻田五区,1945-01-07,フィリピン,フィリピン方面
37866,北九州市八幡東区,槻田五区,1943-05-09,"湖
南省",中国
37867,北九州市八幡東区,槻田五区,1944-09-17,ビルマ,ビルマ方面
37868,北九州市八幡東区,槻田五区,1939-09-08,湖北省,中国
37869,北九州市八幡東区,槻田五区,1945-11-05,ソ連,ソ連
37870,北九州市八幡東区,槻田五区,1945-08-03,ルソン島,フィリピン方面
37871,北九州市八幡東区,槻田五区,1942-12-31,ガダルカナル島,ソロモン・ビスマルク諸島
37872,北九州市八幡東区,槻田五区,1945-10-07,中國,中国
37873,北九州市八幡東区,槻田五区,1944-07-14,ビルマ,ビルマ方面
37874,北九州市八幡東区,槻田五区,1943-06-26,ビルマ,ビルマ方面
37875,北九州市八幡東区,槻田五区,1944-11-03,南シナ海,南シナ海
37876,北九州市八幡東区,槻田五区,1945-06-15,ルソン島,フィリピン方面
37877,北九州市八幡東区,槻田五区,1944-09-05,"比
島",フィリピン方面
37879,北九州市八幡東区,槻田五区,1944-06-18,インド,インド方面
37880,北九州市八幡東区,槻田五区,1945-03-17,ニューギニア,ニューギニア方面
37881,北九州市八幡東区,槻田五区,1944-01-26,南洋群島方面,ミクロネシア
37882,北九州市八幡東区,槻田五区,1945-09-02,ビルマ,ビルマ方面
37884,北九州市八幡東区,槻田五区,1944-07-18,マリアナ島,マリアナ諸島
37885,北九州市八幡東区,槻田五区,1944-07-03,ニューギニア,ニューギニア方面
37886,北九州市八幡東区,槻田五区,1944-12-13,ビルマ,ビルマ方面
